ID,State,Institution,Series,first_enrollment,degree_enrollment,number_recipients,RAW_avg_aid,avg_aid,aid_concentration,RAW_total_aid,total_aid,RAW_total_cost,total_cost,private,public,urban,rural,carnegie,udgr_enrollment,acceptance_rate,udgr_recipients,RAW_udgr_avg,udgr_avg,RAW_udgr_aid,udgr_aid,doctoral,masters,bachelor,city,suburban,town_rural
171146,MI,"University of Michigan, Flint",2018-2019,10,180,36,3738,3923,0.20,134546,141191,34148,35835,0,1,1,0,1,5343,0.66,490,5107,5359,2502430,2626025.174,0,1,0,1,0,0
171146,MI,"University of Michigan, Flint",2019-2020,10,138,33,3369,3434,0.24,111168,113321,35610,36300,0,1,1,0,1,5127,0.66,NA,NA,NA,NA,NA,0,1,0,1,0,0
152080,IN,University of Notre Dame,2012-2013,96,306,99,31503,37896,0.32,3118778,3751681,57805,69536,1,0,0,1,1,8466,0.23,1172,30718,36952,36001496,43307393.04,1,0,0,0,0,1
152080,IN,University of Notre Dame,2013-2014,96,345,124,33229,39355,0.36,4120408,4880013,60117,71200,1,0,0,1,1,8466,0.22,1177,32007,37908,37672239,44617188.37,1,0,0,0,1,0
152080,IN,University of Notre Dame,2014-2015,119,385,161,36392,41850,0.42,5859174,6737955,62461,71829,1,0,0,1,1,8427,0.21,1097,34552,39734,37903544,43588457.67,1,0,0,0,1,0
152080,IN,University of Notre Dame,2015-2016,143,464,204,41935,47269,0.44,8554764,9642906,64775,73014,1,0,0,1,1,8425,0.20,1118,36897,41590,41250846,46497837.6,1,0,0,0,1,0
152080,IN,University of Notre Dame,2016-2017,120,494,241,43712,48528,0.49,10534603,11695167,67043,74429,1,0,0,1,1,8496,0.19,1145,38425,42658,43996625,48843593.45,1,0,0,0,1,0
152080,IN,University of Notre Dame,2017-2018,128,527,231,48220,51946,0.44,11138918,11999684,69395,74758,1,0,0,1,1,8527,0.19,1127,38004,40941,42830508,46140257.09,1,0,0,0,1,0
152080,IN,University of Notre Dame,2018-2019,134,541,231,51006,53525,0.43,11782426,12364361,71801,75347,1,0,0,1,1,8568,0.18,1143,40183,42168,45929169,48197613.53,1,0,0,0,1,0
152080,IN,University of Notre Dame,2019-2020,125,531,215,51752,52754,0.40,11126574,11342031,74193,75630,1,0,0,1,1,8689,0.16,NA,NA,NA,NA,NA,1,0,0,0,1,0
206084,OH,University of Toledo,2012-2013,95,660,495,10427,12543,0.75,5161427,6208852,32738,39382,0,1,1,0,1,16134,NA,2876,5368,6457,15438368,18571324.67,1,0,0,1,0,0
206084,OH,University of Toledo,2013-2014,89,685,413,10726,12703,0.60,4429838,5246487,33229,39355,0,1,1,0,1,15440,0.91,2802,5653,6695,15839706,18759786.12,1,0,0,1,0,0
206084,OH,University of Toledo,2014-2015,113,837,351,11243,12929,0.42,3946231,4538101,34147,39268,0,1,1,0,1,15182,0.95,2992,6483,7455,19397136,22306390.18,1,0,0,1,0,0
206084,OH,University of Toledo,2015-2016,NA,NA,NA,NA,NA,NA,NA,NA,35458,39968,0,1,1,0,1,14989,0.93,2998,6595,7434,19771810,22286728.63,1,0,0,1,0,0
206084,OH,University of Toledo,2016-2017,94,1009,431,11345,12595,0.43,4889532,5428196,35372,39269,0,1,1,0,1,15145,0.94,3044,6024,6688,18337056,20357191.22,1,0,0,1,0,0
206084,OH,University of Toledo,2017-2018,67,959,410,11562,12455,0.43,4740329,5106640,35600,38351,0,1,1,0,1,15109,0.94,2734,6402,6897,17503068,18855626.4,1,0,0,1,0,0
206084,OH,University of Toledo,2018-2019,78,888,417,7378,7742,0.47,4865739,5106058,37287,39129,0,1,1,0,1,14893,0.94,2839,6383,6698,18121337,19016350.97,1,0,0,1,0,0
206084,OH,University of Toledo,2019-2020,135,855,491,6709,6839,0.57,5404008,5508652,37740,38471,0,1,1,0,1,14396,0.96,NA,NA,NA,NA,NA,1,0,0,1,0,0
240268,WI,"University of Wisconsin, Eau Claire",2012-2013,10,209,120,3894,4684,0.57,467279,562105,26040,31324,0,1,1,0,1,10367,0.77,853,1105,1329,942565,1133842.686,0,1,0,1,0,0
240268,WI,"University of Wisconsin, Eau Claire",2013-2014,18,187,124,4090,4844,0.66,507200,600703,26078,30886,0,1,1,0,1,10218,0.77,775,1215,1439,941625,1115215.371,0,1,0,1,0,0
